cTokenName,cTokenSymbol,cToken,underlying,symbolHash,baseUnit,priceSource,fixedPrice,uniswapMarket,reporter,reporterMultiplier,isUniswapReversed
Compound Ether,cETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x0000000000000000000000000000000000000000,0xaaaebeba3810b1e6b70781f14b2d72c1cb89c0b2b320c43bb67ff79f562f5ff4,1000000000000000000,2,0,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x264bddfd9d93d48d759fbdb0670be1c6fdd50236,10000000000000000
Compound Dai,cDAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0x6b175474e89094c44da98b954eedeac495271d0f,0xa5e92f3efb6826155f1f728e162af9d7cda33a574a1153b58f03ea01cc37e568,1000000000000000000,2,0,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,0xb2419f587f497cdd64437f1b367e2e80889631ea,10000000000000000
Compound USD Coin,cUSDC,0x39aa39c021dfbae8fac545936693ac917d5e7563,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd6aca1be9729c13d677335161321649cccae6a591554772516700f986f942eaa,1000000,1,1000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1
Compound USDT,cUSDT,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8b1a1d9c2b109e527c9134b25b1a1833b16b6594f92daa9f6d9b7a6024bce9d0,1000000,1,1000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1
Compound Wrapped BTC,cWBTC,0xccf4429db6322d5c611ee964527d42e5d685dd6a,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xe98e2830be1a7e4156d656a7505e65d08c67660dc618072422e9c78053c261e9,100000000,2,0,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x4846efc15cc725456597044e6267ad0b3b51353e,1000000
Compound Basic Attention Token,cBAT,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x3ec6762bdf44eb044276fec7d12c1bb640cb139cfd533f93eeebba5414f5db55,1000000000000000000,2,0,0xae614a7a56cb79c04df2aeba6f5dab80a39ca78e,0xeba6f33730b9751a8ba0b18d9c256093e82f6bc2,10000000000000000
Compound 0x,cZRX,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,0xe41d2489571d322189246dafa5ebde1f4699f498,0xb8612e326dd19fc983e73ae3bc23fa1c78a3e01478574fa7ceb5b57e589dcebd,1000000000000000000,2,0,0x14424eeecbff345b38187d0b8b749e56faa68539,0x5c5db112c98dbe5977a4c37ad33f8a4c9ebd5575,10000000000000000
Compound Augur,cREP,0x158079ee67fce2f58472a96584a73c7ab9ac95c1,0x1985365e9f78359a9b6ad760e32412f4a445e862,0x91a08135082b0a28b4ad8ecc7749a009e0408743a9d1cdf34dd6a58d60ee9504,1000000000000000000,2,0,0xb055103b7633b61518cd806d95beeb2d4cd217e7,0x90655316479383795416b615b61282c72d8382c1,10000000000000000
Compound Dai,cDAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4dcbfd8d7239a822743634e138b90febafc5720cec2dbdc6a0e5a2118ba2c532,1000000000000000000,0,5285000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,1
Compound Uniswap,cUNI,0x35a18000230da775cac24873d00ff85bccded550,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xfba01d52a7cd84480d0573725899486a0b5e55c20ff45d6628874349375d1650,1000000000000000000,2,0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0x70f4d236fd678c9db41a52d28f90e299676d9d90,10000000000000000
